title,distributor,summary,theaters_count,week_gross,total_gross,sales_ending_week
The Disappearance of Shere Hite,N/A,Shere Hite's bestselling book The Hite Report liberated female orgasm by revealing the most private experiences of thousands of anonymous surveys. Her findings rocked the American establishment and conversations about gender and sexuality.,1,$501,"$49,124",2024-01-11
After Death,Angel Studios,"Based on real near-death experiences, After Death explores the afterlife with the guidance of New York Times bestselling authors, medical experts, scientists, and survivors that shed a light on what awaits us.",1,$60,"$11,478,326",2024-01-11
Mean Girls,Paramount Pictures,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.","3,826","$15,156,862","$53,505,495",2024-01-11
The Beekeeper,Metro-Goldwyn-Mayer (MGM),"A kind-hearted landlady commits suicide after falling victim to a phishing scam, leading former ""Beekeeper"" operative Adam Clay to set out on a brutal campaign for revenge upon those responsible.","3,330","$12,213,346","$34,866,909",2024-01-11
Wonka,Warner Bros.,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.","3,136","$8,535,267","$189,263,005",2024-01-11
Anyone But You,Columbia Pictures,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.","2,928","$7,573,960","$66,395,538",2024-01-11
Migration,Universal Pictures,A family of ducks try to convince their overprotective father to go on the vacation of a lifetime.,"3,094","$6,731,225","$96,103,660",2024-01-11
Aquaman and the Lost Kingdom,Warner Bros.,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.","2,423","$4,747,318","$115,282,034",2024-01-11
I.S.S.,Bleecker Street Media,"Tensions flare in the near future aboard the International Space Station as a conflict breaks out on Earth. Reeling, the U.S. and Russian astronauts receive orders from the ground: take control of the station by any means necessary.","2,518","$4,202,222","$4,202,222",2024-01-11
The Boys in the Boat,Amazon MGM Studios,"A 1930s-set story centered on the University of Washington's rowing team, from their Depression-era beginnings.","2,012","$3,925,801","$45,253,208",2024-01-11
Night Swim,Universal Pictures,"A family moves into a new home, unaware that a dark secret from the house's past will unleash a malevolent force in the backyard pool.","2,708","$3,651,090","$24,705,230",2024-01-11
Poor Things,Searchlight Pictures,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.","1,400","$3,391,493","$21,744,797",2024-01-11
American Fiction,Metro-Goldwyn-Mayer (MGM),A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to disdain.,850,"$2,742,839","$8,946,498",2024-01-11
The Iron Claw,A24,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s.","1,321","$2,246,473","$32,170,116",2024-01-11
The Book of Clarence,Sony Pictures Releasing,"Struggling to find a better life, Clarence is captivated by the power of the rising Messiah and soon risks everything to carve a path to a divine existence.","2,010","$1,550,589","$5,123,138",2024-01-11
The Boy and the Heron,GKIDS,"In the wake of his mother's death and his father's remarriage, a headstrong boy ventures into a dreamlike world shared by the living and the dead in search of his missing stepmother.",580,"$1,195,623","$43,576,946",2024-01-11
